C001,C002,10
C001,C003,15
C002,C004,12
C002,C006,15
C003,C004,10
C004,C005,2
C004,C006,1
C006,C005,5
B001,B0_exit_S,49
B0_exit_S,B001,49
B001,B0_exit_E,54
B0_exit_E,B001,54
B001,B0X_SE,66
B0X_SE,B001,66
B0X_SE,B009,31
B009,B010,61
B010,B011,70
B010,B036_S,70
B011,B036_S,22
B036_S,B011,22
B036_S,B035,24
B011,B035,29
B011,B012,70
B035,B012,55
B012,B034,22
B034,B012,22
B035,B034,55
B012,B013,52
B034,B013,55
B034,B033,55
B013,B033,22
B033,B013,22
B013,B014,41
B033,B014,44
B033,B032_R,58
B014,B032_R,29
B032_R,B014,29
B015,B032_R,29
B032_R,B015,29
B014,B015,41
B015,B016,31
B016,B032_L,34
B032_L,B016,34
B032_R,B032_L,78
B017,B032_L,34
B032_L,B017,34
B016,B017,51
B017,B018,30
B018,B0X_SW,30
B0X_SW,B019_E,16
B019_E,B0X_W,55
B0X_SW,B0X_W,67
B0X_W,B0WC_W,43
B0WC_W,B0X_W,43
B0X_W,B0X_NW,63
B0X_NW,B022,68
B022,B0X_NW,68
B022,B019_N,24
B019_N,B022,24
B019_N,B0X_NW,57
B0X_NW,B019_N,57
B019_N,B020,63
B020,B019_N,63
B020,B023,31
B023,B020,31
B019_N,B023,48
B023,B019_N,48
B020,B021,25
B021,B020,25
B023,B021,33
B021,B023,33
B023,B022,34
B022,B023,34
B0X_NW,B0X_N,81
B0X_N,B024,35
B024,B0X_N,35
B0X_N,B025,42
B025,B0X_N,42
B024,B025,17
B025,B024,17
B025,B026,106
B026,B025,106
B026,B027,22
B027,B026,22
B025,B027,98
B027,B025,98
B0X_N,B0_printer,139
B0_printer,B036_N,125
B036_N,B0X_NE,157
B0X_NE,B028,36
B028,B0X_NE,36
B028,B0_exit_N,126
B0X_NE,B0X_E,60
B0X_E,B008,16
B0X_E,B008,16
B0X_E,B0WC_E,54
B0WC_E,B0X_E,54
B0X_E,B0X_SE,70
